"Project name","Task name","Date","Start time","End time","Duration","Time zone","Project archived","Task completed"
"Math","Calc","2025-01-25","11:44:03","12:06:11","00:22:08","+02:00","false","false"
"Machine Learning",,"2025-01-26","08:59:34","09:02:34","00:03:00","+02:00","false",
"Machine Learning",,"2025-01-26","09:02:35","09:02:36","00:00:01","+02:00","false",
"Math","Calc","2025-01-26","09:02:37","10:28:58","01:26:21","+02:00","false","false"
"Math","Calc","2025-01-26","10:44:08","10:44:16","00:00:08","+02:00","false","false"
"Machine Learning",,"2025-01-26","10:44:24","11:03:31","00:19:07","+02:00","false",
"Machine Learning",,"2025-01-26","11:21:04","11:27:55","00:06:51","+02:00","false",
"Machine Learning",,"2025-01-26","11:34:17","13:22:05","01:47:48","+02:00","false",
"Machine Learning",,"2025-01-26","13:29:33","14:57:39","01:28:06","+02:00","false",
"Machine Learning",,"2025-01-26","15:36:41","15:46:30","00:09:49","+02:00","false",
"Work",,"2025-01-26","15:46:30","17:32:50","01:46:20","+02:00","false",
"Work",,"2025-01-26","17:47:44","17:49:43","00:01:59","+02:00","false",
"Machine Learning",,"2025-01-26","18:11:44","19:12:43","01:00:59","+02:00","false",
"Math","Probability","2025-01-26","19:12:54","20:13:06","01:00:12","+02:00","false","false"
"Math","Probability","2025-01-26","20:31:09","21:11:57","00:40:48","+02:00","false","false"
"Math","Probability","2025-01-27","08:32:24","08:53:30","00:21:06","+02:00","false","false"
"Math","Probability","2025-01-27","09:01:54","09:22:01","00:20:07","+02:00","false","false"
"General CS",,"2025-01-27","09:58:02","10:33:19","00:35:17","+02:00","false",
"Math","Probability","2025-01-27","10:49:41","10:57:42","00:08:01","+02:00","false","false"
"Math","Probability","2025-01-27","11:10:57","11:10:57","00:00:00","+02:00","false","false"
"Math","Probability","2025-01-27","11:10:59","11:16:00","00:05:01","+02:00","false","false"
"Math","Probability","2025-01-27","13:13:56","15:24:29","02:10:33","+02:00","false","false"
"Finance",,"2025-01-27","15:41:53","15:49:00","00:07:07","+02:00","false",
"Math","Probability","2025-01-27","15:49:02","15:49:36","00:00:34","+02:00","false","false"
"Math","Probability","2025-01-27","16:28:29","16:35:19","00:06:50","+02:00","false","false"
"Math",,"2025-01-27","16:57:23","16:57:25","00:00:02","+02:00","false",
"Math",,"2025-01-27","16:57:26","17:41:49","00:44:23","+02:00","false",
"Math","Probability","2025-01-27","18:14:24","19:10:04","00:55:40","+02:00","false","false"
"Math","Probability","2025-01-27","20:49:16","21:33:30","00:44:14","+02:00","false","false"
"Math","Probability","2025-01-27","21:56:58","22:34:17","00:37:19","+02:00","false","false"
"Work",,"2025-01-28","09:10:50","11:06:16","01:55:26","+02:00","false",
"Work",,"2025-01-28","11:28:58","11:54:00","00:25:02","+02:00","false",
"Work",,"2025-01-28","11:54:37","14:03:11","02:08:34","+02:00","false",
"Math","Probability","2025-01-28","17:59:52","19:11:59","01:12:07","+02:00","false","false"
"Math","Probability","2025-01-28","19:12:14","19:27:01","00:14:47","+02:00","false","false"
"Math",,"2025-01-28","21:01:29","21:56:47","00:55:18","+02:00","false",
"Work",,"2025-01-29","08:31:38","12:33:00","04:01:22","+02:00","false",
"Math","Probability","2025-01-29","17:34:45","18:22:04","00:47:19","+02:00","false","false"
"Math","Probability","2025-01-29","18:44:00","20:43:55","01:59:55","+02:00","false","false"
"Math",,"2025-01-29","20:43:57","20:50:16","00:06:19","+02:00","false",
"Math","Probability","2025-01-29","20:53:05","20:57:35","00:04:30","+02:00","false","false"
"Math","Probability","2025-01-29","21:22:32","21:56:43","00:34:11","+02:00","false","false"
"Math","Probability","2025-01-30","08:15:41","08:47:46","00:32:05","+02:00","false","false"
"Math","Probability","2025-01-30","09:03:34","09:06:39","00:03:05","+02:00","false","false"
"Math","Probability","2025-01-30","09:17:17","09:33:00","00:15:43","+02:00","false","false"
"Work",,"2025-01-30","10:01:49","11:12:12","01:10:23","+02:00","false",
"Math","Probability","2025-01-30","12:07:52","12:39:17","00:31:25","+02:00","false","false"
"Math","Probability","2025-01-30","13:26:09","13:32:20","00:06:11","+02:00","false","false"
"Math","Probability","2025-01-30","13:42:29","14:15:40","00:33:11","+02:00","false","false"
"Math","Probability","2025-01-30","16:52:35","17:59:21","01:06:46","+02:00","false","false"
"Math","Probability","2025-01-30","18:40:39","19:03:44","00:23:05","+02:00","false","false"
"Math","Probability","2025-01-30","19:22:29","19:49:03","00:26:34","+02:00","false","false"
"Math","Probability","2025-01-30","19:59:01","20:25:02","00:26:01","+02:00","false","false"
"Math","Probability","2025-01-30","20:25:32","20:27:06","00:01:34","+02:00","false","false"
"General CS",,"2025-01-30","20:27:09","20:31:48","00:04:39","+02:00","false",
"General CS",,"2025-01-30","20:42:07","20:49:49","00:07:42","+02:00","false",
"Math","Probability","2025-01-30","20:50:02","20:50:28","00:00:26","+02:00","false","false"
"Math","Probability","2025-01-30","20:58:16","21:10:23","00:12:07","+02:00","false","false"
"General CS",,"2025-01-31","09:00:12","10:00:16","01:00:04","+02:00","false",
"Math","Probability","2025-01-31","12:34:26","13:27:29","00:53:03","+02:00","false","false"
"Math","Probability","2025-01-31","15:36:47","16:52:21","01:15:34","+02:00","false","false"
"Programming",,"2025-01-31","16:55:53","17:00:01","00:04:08","+02:00","false",
"Programming",,"2025-01-31","17:04:43","19:51:04","02:46:21","+02:00","false",
"Programming",,"2025-01-31","20:01:24","22:23:20","02:21:56","+02:00","false",
"Programming",,"2025-02-01","10:23:07","12:04:26","01:41:19","+02:00","false",
"Programming",,"2025-02-01","12:28:31","12:43:32","00:15:01","+02:00","false",
"Programming",,"2025-02-01","13:17:57","15:19:59","02:02:02","+02:00","false",
"Programming",,"2025-02-01","16:13:52","16:45:41","00:31:49","+02:00","false",
"Programming",,"2025-02-01","16:46:16","16:46:43","00:00:27","+02:00","false",
"Math","Probability","2025-02-01","20:32:54","20:56:16","00:23:22","+02:00","false","false"
"Math","Probability","2025-02-01","21:00:30","21:34:51","00:34:21","+02:00","false","false"
"Math","Probability","2025-02-02","09:54:11","11:24:48","01:30:37","+02:00","false","false"
"Math","Probability","2025-02-02","11:30:11","12:05:50","00:35:39","+02:00","false","false"
"Math",,"2025-02-02","13:08:50","13:09:50","00:01:00","+02:00","false",
"Math","Probability","2025-02-02","13:10:48","15:10:52","02:00:04","+02:00","false","false"
"Math","Probability","2025-02-02","15:27:58","16:22:21","00:54:23","+02:00","false","false"
"Work",,"2025-02-02","16:40:36","16:43:27","00:02:51","+02:00","false",
"Work",,"2025-02-02","16:46:28","18:26:40","01:40:12","+02:00","false",
"Math","Probability","2025-02-02","18:31:57","18:40:21","00:08:24","+02:00","false","false"
"Math","Probability","2025-02-02","18:56:09","19:30:16","00:34:07","+02:00","false","false"
"Math","Probability","2025-02-02","19:31:36","19:47:43","00:16:07","+02:00","false","false"
"Math","Probability","2025-02-02","19:49:42","21:33:35","01:43:53","+02:00","false","false"
"Work",,"2025-02-03","07:06:53","07:14:04","00:07:11","+02:00","false",
"Work",,"2025-02-03","07:21:08","08:11:34","00:50:26","+02:00","false",
"Math","Probability","2025-02-03","08:25:00","09:01:01","00:36:01","+02:00","false","false"
"Work",,"2025-02-03","09:01:02","10:48:33","01:47:31","+02:00","false",
"Work",,"2025-02-03","11:53:34","12:28:26","00:34:52","+02:00","false",
"Finance",,"2025-02-03","12:28:41","12:29:41","00:01:00","+02:00","false",
"Work",,"2025-02-03","12:29:43","12:58:55","00:29:12","+02:00","false",
"General CS",,"2025-02-03","13:44:47","14:09:39","00:24:52","+02:00","false",
"Work",,"2025-02-03","14:09:40","14:09:41","00:00:01","+02:00","false",
"Programming",,"2025-02-03","14:09:44","15:10:03","01:00:19","+02:00","false",
"Programming",,"2025-02-03","16:36:23","18:17:15","01:40:52","+02:00","false",
"Work",,"2025-02-03","20:16:30","21:53:16","01:36:46","+02:00","false",
"Work",,"2025-02-04","08:21:42","08:52:37","00:30:55","+02:00","false",
"Finance",,"2025-02-04","08:52:38","09:08:46","00:16:08","+02:00","false",
"General CS",,"2025-02-04","10:06:23","11:16:08","01:09:45","+02:00","false",
"Math","Probability","2025-02-04","11:36:51","11:36:52","00:00:01","+02:00","false","false"
"Math","Complex Analysis","2025-02-04","11:37:20","13:06:49","01:29:29","+02:00","false","false"
"Finance",,"2025-02-04","13:06:51","14:01:42","00:54:51","+02:00","false",
"Math","Probability","2025-02-04","16:52:54","17:08:29","00:15:35","+02:00","false","false"
"Math","Probability","2025-02-04","17:47:46","18:53:39","01:05:53","+02:00","false","false"
"Math","Probability","2025-02-04","18:58:24","18:58:32","00:00:08","+02:00","false","false"
"Math","Probability","2025-02-04","18:58:33","20:01:47","01:03:14","+02:00","false","false"
"Math","Probability","2025-02-04","20:08:49","20:09:16","00:00:27","+02:00","false","false"
"Math","Probability","2025-02-04","20:09:17","21:02:48","00:53:31","+02:00","false","false"
"Math","Probability","2025-02-05","07:56:52","08:41:47","00:44:55","+02:00","false","false"
"Math","Numerical Analysis","2025-02-05","09:52:18","11:19:23","01:27:05","+02:00","false","false"
"Physics",,"2025-02-05","11:42:18","13:03:06","01:20:48","+02:00","false",
"Math","Numerical Analysis","2025-02-05","14:27:45","15:07:24","00:39:39","+02:00","false","false"
"Math","Numerical Analysis","2025-02-05","15:18:44","15:34:17","00:15:33","+02:00","false","false"
"General CS",,"2025-02-05","15:34:19","15:50:44","00:16:25","+02:00","false",
"Math","Numerical Analysis","2025-02-05","15:50:45","16:29:31","00:38:46","+02:00","false","false"
"Math","Numerical Analysis","2025-02-05","17:07:38","17:25:40","00:18:02","+02:00","false","false"
"Math","Numerical Analysis","2025-02-05","17:27:06","18:00:45","00:33:39","+02:00","false","false"
"Finance",,"2025-02-05","19:04:08","20:25:02","01:20:54","+02:00","false",
"Finance",,"2025-02-05","20:31:38","20:44:25","00:12:47","+02:00","false",
"Math","Numerical Analysis","2025-02-05","21:07:27","21:21:44","00:14:17","+02:00","false","false"
"Math","Complex Analysis","2025-02-06","08:10:21","09:34:27","01:24:06","+02:00","false","false"
"Finance",,"2025-02-06","09:44:16","11:15:15","01:30:59","+02:00","false",
"Finance",,"2025-02-06","11:26:03","11:35:44","00:09:41","+02:00","false",
"Finance",,"2025-02-06","11:39:29","12:49:35","01:10:06","+02:00","false",
"Physics",,"2025-02-06","12:49:55","13:00:57","00:11:02","+02:00","false",
"Finance",,"2025-02-06","13:05:34","13:27:23","00:21:49","+02:00","false",
"Physics",,"2025-02-06","13:32:52","14:56:34","01:23:42","+02:00","false",
"Physics",,"2025-02-06","16:07:33","16:37:49","00:30:16","+02:00","false",
"Physics",,"2025-02-06","16:56:55","17:17:43","00:20:48","+02:00","false",
"Physics",,"2025-02-06","17:17:44","17:55:17","00:37:33","+02:00","false",
"Physics",,"2025-02-06","17:55:30","18:17:49","00:22:19","+02:00","false",
"Physics",,"2025-02-06","18:18:16","18:38:20","00:20:04","+02:00","false",
"Physics",,"2025-02-06","19:13:48","19:28:40","00:14:52","+02:00","false",
"Physics",,"2025-02-06","19:38:38","20:14:43","00:36:05","+02:00","false",
"Work",,"2025-02-06","20:29:30","20:49:52","00:20:22","+02:00","false",
"Math","Complex Analysis","2025-02-06","21:02:53","21:02:55","00:00:02","+02:00","false","false"
"Math","Numerical Analysis","2025-02-06","21:02:56","21:07:31","00:04:35","+02:00","false","false"
"Math","Numerical Analysis","2025-02-06","21:13:49","21:47:35","00:33:46","+02:00","false","false"
"Finance",,"2025-02-07","07:59:03","08:12:10","00:13:07","+02:00","false",
"General CS",,"2025-02-07","08:12:13","09:57:06","01:44:53","+02:00","false",
"Finance",,"2025-02-07","09:57:08","11:03:26","01:06:18","+02:00","false",
"General CS",,"2025-02-07","12:05:35","12:58:51","00:53:16","+02:00","false",
"Finance",,"2025-02-07","13:09:11","13:59:11","00:50:00","+02:00","false",
"Finance",,"2025-02-07","14:00:05","14:54:17","00:54:12","+02:00","false",
"Finance",,"2025-02-07","16:48:45","17:54:42","01:05:57","+02:00","false",
"Finance",,"2025-02-07","17:54:44","17:59:48","00:05:04","+02:00","false",
"Finance",,"2025-02-07","17:59:51","18:24:45","00:24:54","+02:00","false",
"Finance",,"2025-02-07","18:25:01","19:30:25","01:05:24","+02:00","false",
"Finance",,"2025-02-07","19:48:10","20:20:34","00:32:24","+02:00","false",
"Finance",,"2025-02-07","20:20:38","20:31:54","00:11:16","+02:00","false",
"Finance",,"2025-02-07","21:10:06","21:46:04","00:35:58","+02:00","false",
"Finance",,"2025-02-07","21:46:08","21:51:27","00:05:19","+02:00","false",
"Finance",,"2025-02-08","08:20:43","10:05:54","01:45:11","+02:00","false",
"Math","Complex Analysis","2025-02-08","10:05:54","10:05:55","00:00:01","+02:00","false","false"
"Finance",,"2025-02-08","10:05:57","10:27:22","00:21:25","+02:00","false",
"Programming",,"2025-02-08","11:04:25","12:18:33","01:14:08","+02:00","false",
"Finance",,"2025-02-08","11:14:19","11:14:20","00:00:01","+02:00","false",
"Programming",,"2025-02-08","14:08:18","14:12:14","00:03:56","+02:00","false",
"Physics",,"2025-02-08","14:12:16","14:29:24","00:17:08","+02:00","false",
"Physics",,"2025-02-08","15:01:31","16:20:19","01:18:48","+02:00","false",
"Physics",,"2025-02-08","16:20:21","16:40:40","00:20:19","+02:00","false",
"Math","Probability","2025-02-08","16:57:46","17:14:48","00:17:02","+02:00","false","false"
"Math","Probability","2025-02-08","17:14:52","17:28:57","00:14:05","+02:00","false","false"
"Programming",,"2025-02-08","18:12:34","18:13:10","00:00:36","+02:00","false",
"General CS",,"2025-02-08","18:13:12","19:06:35","00:53:23","+02:00","false",
"Finance",,"2025-02-08","21:53:15","22:23:41","00:30:26","+02:00","false",
"Physics",,"2025-02-09","08:54:07","09:49:45","00:55:38","+02:00","false",
"Finance",,"2025-02-09","09:49:50","10:05:07","00:15:17","+02:00","false",
"Finance",,"2025-02-09","10:11:46","12:02:15","01:50:29","+02:00","false",
"Finance",,"2025-02-09","12:05:57","12:42:09","00:36:12","+02:00","false",
"Finance",,"2025-02-09","12:51:21","12:51:25","00:00:04","+02:00","false",
"Finance",,"2025-02-09","13:25:20","14:14:50","00:49:30","+02:00","false",
"Finance",,"2025-02-09","14:31:50","16:02:34","01:30:44","+02:00","false",
"Math","Probability","2025-02-09","16:29:32","16:29:36","00:00:04","+02:00","false","false"
"Physics",,"2025-02-09","16:50:37","18:37:05","01:46:28","+02:00","false",
"Finance",,"2025-02-09","18:55:17","19:10:39","00:15:22","+02:00","false",
"Math","Probability","2025-02-09","19:12:08","19:44:32","00:32:24","+02:00","false","false"
"Math","Numerical Analysis","2025-02-09","20:15:45","20:29:40","00:13:55","+02:00","false","false"
"Math","Numerical Analysis","2025-02-09","20:48:22","21:02:33","00:14:11","+02:00","false","false"
"Finance",,"2025-02-10","08:38:14","10:11:46","01:33:32","+02:00","false",
"Physics",,"2025-02-10","11:38:57","13:03:54","01:24:57","+02:00","false",
"Programming",,"2025-02-10","13:33:26","15:08:10","01:34:44","+02:00","false",
"Finance",,"2025-02-10","16:36:04","17:58:23","01:22:19","+02:00","false",
"Programming",,"2025-02-10","17:58:23","17:58:25","00:00:02","+02:00","false",
"Finance",,"2025-02-10","18:46:45","20:16:12","01:29:27","+02:00","false",
"Math","Numerical Analysis","2025-02-11","08:07:59","09:16:17","01:08:18","+02:00","false","false"
"Math","Numerical Analysis","2025-02-11","09:53:55","11:16:30","01:22:35","+02:00","false","false"
"Math","Numerical Analysis","2025-02-11","11:24:37","13:07:54","01:43:17","+02:00","false","false"
"Math","Numerical Analysis","2025-02-11","14:59:46","15:07:54","00:08:08","+02:00","false","false"
"Math","Probability","2025-02-11","15:07:57","15:40:45","00:32:48","+02:00","false","false"
"Math","Differential equations","2025-02-11","15:41:01","15:41:02","00:00:01","+02:00","false","false"
"Math","Differential equations","2025-02-11","15:41:17","16:45:08","01:03:51","+02:00","false","false"
"Math","Differential equations","2025-02-11","16:45:58","17:12:27","00:26:29","+02:00","false","false"
"Math","Differential equations","2025-02-11","18:37:28","18:54:59","00:17:31","+02:00","false","false"
"Math","Differential equations","2025-02-12","08:40:19","09:17:34","00:37:15","+02:00","false","false"
"Math","Calc","2025-02-12","09:55:46","11:16:08","01:20:22","+02:00","false","false"
"Physics",,"2025-02-12","11:36:00","13:07:30","01:31:30","+02:00","false",
"Math","Real Analysis","2025-02-12","14:34:38","14:39:29","00:04:51","+02:00","false","false"
"Work",,"2025-02-12","14:41:12","14:43:15","00:02:03","+02:00","false",
"Math","Real Analysis","2025-02-12","14:43:16","15:37:43","00:54:27","+02:00","false","false"
"Math","Real Analysis","2025-02-12","15:37:45","16:15:02","00:37:17","+02:00","false","false"
"Math","Real Analysis","2025-02-12","16:22:26","16:43:02","00:20:36","+02:00","false","false"
"Math","Real Analysis","2025-02-12","17:26:52","18:00:08","00:33:16","+02:00","false","false"
"Math","Real Analysis","2025-02-12","18:00:10","18:20:21","00:20:11","+02:00","false","false"
"Math","Real Analysis","2025-02-12","18:37:16","18:44:28","00:07:12","+02:00","false","false"
"Math","Real Analysis","2025-02-12","18:46:13","19:03:42","00:17:29","+02:00","false","false"
"Math","Numerical Analysis","2025-02-12","19:05:18","19:35:48","00:30:30","+02:00","false","false"
"Math","Numerical Analysis","2025-02-12","19:35:53","19:47:13","00:11:20","+02:00","false","false"
"Math","Numerical Analysis","2025-02-12","19:47:14","19:47:15","00:00:01","+02:00","false","false"
"Math","Real Analysis","2025-02-12","19:47:16","20:08:09","00:20:53","+02:00","false","false"
"Math","Real Analysis","2025-02-12","20:26:42","21:00:21","00:33:39","+02:00","false","false"
"Math","Real Analysis","2025-02-12","21:00:31","21:39:47","00:39:16","+02:00","false","false"
"Math","Complex Analysis","2025-02-13","08:07:34","09:28:38","01:21:04","+02:00","false","false"
"Math","Calc","2025-02-13","09:52:38","11:16:11","01:23:33","+02:00","false","false"
"Physics",,"2025-02-13","11:35:02","12:59:30","01:24:28","+02:00","false",
"Math","Real Analysis","2025-02-13","15:10:12","16:18:27","01:08:15","+02:00","false","false"
"Math","Real Analysis","2025-02-13","16:30:23","16:43:08","00:12:45","+02:00","false","false"
"Math","Real Analysis","2025-02-13","16:44:26","16:48:06","00:03:40","+02:00","false","false"
"Math","Real Analysis","2025-02-13","16:51:05","16:56:31","00:05:26","+02:00","false","false"
"Math","Real Analysis","2025-02-13","17:02:56","17:45:33","00:42:37","+02:00","false","false"
"Math","Real Analysis","2025-02-13","17:58:37","18:03:42","00:05:05","+02:00","false","false"
"Math","Real Analysis","2025-02-13","18:13:36","18:29:22","00:15:46","+02:00","false","false"
"Math","Numerical Analysis","2025-02-13","19:24:03","20:35:09","01:11:06","+02:00","false","false"
"Math","Numerical Analysis","2025-02-13","21:03:53","21:28:11","00:24:18","+02:00","false","false"
"Math",,"2025-02-13","21:41:24","22:00:54","00:19:30","+02:00","false",
"Math",,"2025-02-14","08:20:00","09:07:13","00:47:13","+02:00","false",
"Programming",,"2025-02-14","09:51:49","10:41:28","00:49:39","+02:00","false",
"General CS",,"2025-02-14","10:41:34","11:07:28","00:25:54","+02:00","false",
"Programming",,"2025-02-14","11:07:29","11:12:35","00:05:06","+02:00","false",
"Math",,"2025-02-14","13:17:54","13:25:17","00:07:23","+02:00","false",
"Math","Real Analysis","2025-02-14","13:36:41","14:22:11","00:45:30","+02:00","false","false"
"Math","Real Analysis","2025-02-14","16:00:40","17:48:12","01:47:32","+02:00","false","false"
"Math","Real Analysis","2025-02-14","18:21:11","18:35:36","00:14:25","+02:00","false","false"
"Programming",,"2025-02-14","19:35:24","20:16:44","00:41:20","+02:00","false",
"Math",,"2025-02-14","20:38:34","21:38:10","00:59:36","+02:00","false",
"Programming",,"2025-02-14","21:38:10","21:38:11","00:00:01","+02:00","false",
"Math","Real Analysis","2025-02-15","08:45:58","10:45:58","02:00:00","+02:00","false","false"
"Programming",,"2025-02-15","10:50:49","11:05:52","00:15:03","+02:00","false",
"Programming",,"2025-02-15","12:19:59","14:24:21","02:04:22","+02:00","false",
"Programming",,"2025-02-15","14:24:29","15:06:06","00:41:37","+02:00","false",
"Programming",,"2025-02-15","15:40:03","16:29:36","00:49:33","+02:00","false",
"Programming",,"2025-02-15","16:52:35","18:36:56","01:44:21","+02:00","false",
"Programming",,"2025-02-15","18:37:03","18:47:18","00:10:15","+02:00","false",
"Math","Numerical Analysis","2025-02-15","20:49:03","21:19:09","00:30:06","+02:00","false","false"
"Programming",,"2025-02-15","21:35:45","21:55:45","00:20:00","+02:00","false",
"Math","Real Analysis","2025-02-16","08:27:26","09:34:27","01:07:01","+02:00","false","false"
"Math","Real Analysis","2025-02-16","09:51:19","11:09:09","01:17:50","+02:00","false","false"
"Math","Numerical Analysis","2025-02-16","11:22:11","12:19:53","00:57:42","+02:00","false","false"
"Math","Numerical Analysis","2025-02-16","12:40:15","13:37:35","00:57:20","+02:00","false","false"
"Math","Numerical Analysis","2025-02-16","13:48:06","15:01:24","01:13:18","+02:00","false","false"
"Math","Real Analysis","2025-02-16","15:11:46","15:37:16","00:25:30","+02:00","false","false"
"Work",,"2025-02-16","15:37:17","16:11:01","00:33:44","+02:00","false",
"Physics",,"2025-02-16","16:35:54","17:06:44","00:30:50","+02:00","false",
"Math",,"2025-02-16","17:09:22","17:35:10","00:25:48","+02:00","false",
"Math","Numerical Analysis","2025-02-16","17:54:19","18:07:45","00:13:26","+02:00","false","false"
